FACILITY,TOTAL REVENUE,Branch
FLASH PHARMACY,4668.12,ABEKA WHOLESALE
SINA PHARMACY,4661.18,ABEKA WHOLESALE
ABOKOBI CHEMICAL SHOP,4658.97,DOME WHOLESALE
EXXELL PHARMACY,4656.02,OFANKOR WHOLESALE
GOOD START PHARMACY,4652.67,DOME WHOLESALE
HEALTH HUB PHARMACY LTD,4651.58,MALLAM WHOLESALE
CHELLGLEN PHARMACY,4647.48,DANSOMAN MARKET WHOLESALE
KATEMED PHARMACY,4645.95,DOME WHOLESALE
RANKOF PHARMACY,4645.89,NANAKROM WHOLESALE
IRENE CHEMICALS,4645.50,ABEKA WHOLESALE
MAKAY PHARMACY LTD-RETAIL,4644.72,OSU WHOLESALE
GREENFIELD PHARMACY LTD,4644.03,OKAISHIE WHOLESALE
FRANKABOT PHARMACEUTICALS,4642.28,TANTRA HILL WHOLESALE
KABY CHEMISTS,4625.60,KORLE-BU WHOLESALE
HAMMS PHARMACY,4589.82,DOME WHOLESALE
DARKO CHEMICAL SHOP,4580.41,MALLAM WHOLESALE
EVE CHEMICAL,4576.65,AKUKOR FOTO WHOLESALE
NASSK CLINIC,4570.36,TANTRA HILL WHOLESALE
LIFE DOOR PHARMACY,4568.25,OFANKOR WHOLESALE
GASFAM PHARMACY,4543.73,DOME WHOLESALE
IKANN CHEMIST LTD.,4543.42,OSU WHOLESALE
ESPANA PHARMACY,4537.32,ASHAIMAN WHOLESALE
RICHARD ASIEDU CHEMICAL,4531.33,TANTRA HILL WHOLESALE
MAKARISO CHEMICAL,4527.36,TANTRA HILL WHOLESALE
GLITZ PLUS PHARMACY,4522.96,KUMASI WHOLESALE
COCOA CLINIC,4507.30,KORLE-BU WHOLESALE
GIESABI MEDICAL CENTRE,4502.39,OKAISHIE WHOLESALE
KISDEE PHARMA LTD,4494.60,KASOA WHOLESALE
VICTORIA CHEMICALS,4488.60,OKAISHIE WHOLESALE
SMALL ANIMALS TEACHING HOSPITAL,4486.96,DOME WHOLESALE
D-HEALTH ENT,4486.59,OKAISHIE WHOLESALE
BENISTAR ENDOSCOPY CENTRE,4457.50,KORLE-BU WHOLESALE
LIFE HEALTH PHARMACY,4457.31,TANTRA HILL WHOLESALE
KORLE BU DENTAL CLINIC,4454.39,KORLE-BU WHOLESALE
BENDOZ PHARMACY LTD,4445.92,OKAISHIE WHOLESALE
MED CENTER PHARMACY,4443.58,REPUBLIC WHOLESALE
BEMUAH ROYAL HOSPITAL,4436.52,NANAKROM WHOLESALE
LOKKO CHEMICAL,4427.96,DOME WHOLESALE
TAIFA POLYCLINIC,4425.53,DOME WHOLESALE
PAUL K ASANTE CHEMICAL SHOP,4416.67,AKUKOR FOTO WHOLESALE
ANNAN-JONES CHEMICAL,4412.49,KASOA WHOLESALE
BOSTON PHARMACY,4405.32,AKUKOR FOTO WHOLESALE
AM GAMBO PHARMACY,4399.97,NANAKROM WHOLESALE
NOLAN PHARMACY,4392.50,ABEKA WHOLESALE
SALUTO PHARMACY,4390.75,PATASE WHOLESALE
ERNDOM CHEMIST LTD,4376.91,KUMASI WHOLESALE
NHYIRA CHEMICALS,4374.33,MALLAM WHOLESALE
OBM PHARMACY LIMITED,4370.00,ASHAIMAN WHOLESALE
RIVERS DENTAL CLINIC,4366.74,TANTRA HILL WHOLESALE
ASCOT PHARM,4361.93,ABEKA WHOLESALE
NANA ADGEI CHEMICAL,4357.51,DOME WHOLESALE
WITTY PHARMACY,4347.38,PATASE WHOLESALE
SHEKINAH PHARMACY,4343.87,OSU WHOLESALE
WESTERN MD PHARMACY,4335.81,DOME WHOLESALE
VERDI PHARMACY,4331.50,KORLE-BU WHOLESALE
MOUNT SINAI MEDICAL CENTRE,4327.34,DOME WHOLESALE
HEALTH BASE PHARMACY,4320.76,TANTRA HILL WHOLESALE
AID - POINT  PHARMACY,4320.30,OKAISHIE WHOLESALE
HEALTH AID PHARMACY,4314.86,MALLAM WHOLESALE
WOLAD ENTERPRISE,4295.36,KASOA WHOLESALE
TOP-UP PHARMACY - TEMA,4292.48,OSU WHOLESALE
C KOTOKA CHEMICAL SHOP,4282.42,KORLE-BU WHOLESALE
GRACE CHEMICAL,4271.33,OKAISHIE WHOLESALE
KAF CHEMIST,4264.43,KUMASI WHOLESALE
ATEK CHEMIST,4263.37,TANTRA HILL WHOLESALE
NEW CROSS MEDICAL CENTRE,4254.15,KORLE-BU WHOLESALE
BALLIS PHARMACY,4242.71,MALLAM WHOLESALE
GLORIA CHEMICALS,4239.74,DANSOMAN MARKET WHOLESALE
MICHEAL CHEMICAL,4235.17,ABEKA WHOLESALE
PILLPOINT PHARMACY,4212.53,ABEKA WHOLESALE
FAUSTINA GYAMERAH CHEMICAL,4206.53,ABEKA WHOLESALE
AMANDALEX ENT,4200.00,OSU WHOLESALE
DESTINY COMMAND CHEMIST,4197.86,NANAKROM WHOLESALE
KLAY PHARMACY LTD,4194.24,OKAISHIE WHOLESALE
PROVERBS CHEMICALS,4188.08,MALLAM WHOLESALE
WELLPOINT MEDICAL CENTRE,4185.00,KUMASI WHOLESALE
PLASTIC SURGERY UNIT KB,4174.70,KORLE-BU WHOLESALE
KWABENA KORANTENG,4166.90,REPUBLIC WHOLESALE
BEATMEDS PHARMACY,4159.35,OKAISHIE WHOLESALE
SHOPPERS PHARMACY,4154.91,OFANKOR WHOLESALE
JAN AID PHARMACY,4153.71,KORLE-BU WHOLESALE
MAYFAIR CLINIC,4149.60,KORLE-BU WHOLESALE
RESCUE CHEMISTS LIMITED,4141.27,DOME WHOLESALE
KINGS AND ROYAL PHARMACY-RETAIL,4139.34,PATASE WHOLESALE
KORLE BU DIABETIC CLINIC,4117.20,KORLE-BU WHOLESALE
EMERYSANTE PHARMACY,4107.73,KORLE-BU WHOLESALE
WESTFIELD CHEMIST LTD,4099.88,ASHAIMAN WHOLESALE
ADU PEPRAH CHEMICAL SHOP,4081.44,DOME WHOLESALE
ADUSA - AMANKWA HEALTH LTD,4079.13,DOME WHOLESALE
PATIENCE MARTEY CHEMICAL SHOP,4074.42,KASOA WHOLESALE
VALOUR CHEMIST,4065.18,KASOA WHOLESALE
GYNCHRIS PHARMACY,4058.87,TANTRA HILL WHOLESALE
NAADOSTI PHARMACY,4058.25,MALLAM WHOLESALE
RANEL CHEMIST,4050.07,MALLAM WHOLESALE
KBTH MEDICAL PHARMACY,4043.28,KORLE-BU WHOLESALE
DINASHI CHEMICAL,4039.74,OSU WHOLESALE
EBENEZER CHEMIST- GBAWE,4032.00,MALLAM WHOLESALE
NOVIK PHARMACY LIMITED,4031.97,MALLAM WHOLESALE
AGGIE SUPERMARKET,4023.96,MALLAM WHOLESALE
WEST POINT PHARMACY,4013.20,KORLE-BU WHOLESALE
BOND HOUSE MEDICAL CENTRE,4010.55,KORLE-BU WHOLESALE
TRAVAILERS PHARMACY,4004.17,MALLAM WHOLESALE
TOFFEY PHARMACY LIMITED,4002.50,OKAISHIE WHOLESALE
ISECORM MEDICAL CENTRE,4002.00,DOME WHOLESALE
BY HIS GRACE CHEMICAL,3988.20,ASHAIMAN WHOLESALE
WESTERN PHARMACY LTD - WHOLESALE,3985.00,PATASE WHOLESALE
BELAH PHARMACY,3980.96,DOME WHOLESALE
PLASTIC SURGERY UNIT KB,3977.60,DANSOMAN MARKET WHOLESALE
KANTARONY PHARMACY,3960.68,PATASE WHOLESALE
ENT KORLE BU,3955.60,OFANKOR WHOLESALE
GREENWOOD CHEMIST,3951.58,REPUBLIC WHOLESALE
MABI PHARMACY,3950.01,KASOA WHOLESALE
COSTA PHARMACY - WHOLESALE,3936.00,PATASE WHOLESALE
KORNECTA VENTURES,3933.50,ABEKA WHOLESALE
NYAME N'ADOM CHEMICAL SHOP,3913.90,MALLAM WHOLESALE
SIX CEES PHARMACY,3912.97,MALLAM WHOLESALE
DAYSPRING MONTESSORI SCHOOL,3848.04,DANSOMAN MARKET WHOLESALE
RHEMA CHEMICALS,3845.34,MALLAM WHOLESALE
DAMACHEM CHEMIST,3837.46,KORLE-BU WHOLESALE
RYTCOL PHARMACY,3826.62,DANSOMAN MARKET WHOLESALE
FAP PHARMACY,3826.10,MALLAM WHOLESALE
NOLAN HEALTH CONSUMABLES,3824.00,OKAISHIE WHOLESALE
VITA BELLA ENT,3821.48,MALLAM WHOLESALE
BENJAMIN TAWIAH CHEMICAL,3816.58,KASOA WHOLESALE
COMMODORE CHEMIST LTD,3805.94,TANTRA HILL WHOLESALE
SOLOEMEST CHEMICAL,3801.96,DANSOMAN MARKET WHOLESALE
CARE VIEW PHARMACY,3801.40,OKAISHIE WHOLESALE
DANSOMAN KEEP FIT CLUB/ DR LAT,3797.10,KORLE-BU WHOLESALE
RAHMAH TOWN CLINIC,3796.95,TANTRA HILL WHOLESALE
ROYAL MEDICAL AGENCY CLINIC,3795.80,DANSOMAN MARKET WHOLESALE
NIB CLINIC,3790.00,MALLAM WHOLESALE
ANTHONY CHEMICAL,3787.86,ABEKA WHOLESALE
RESCUE CHEMISTS LIMITED,3787.74,OKAISHIE WHOLESALE
NORTH LEGON HOSPITAL,3787.70,DOME WHOLESALE
CROWN CHEMIST,3781.75,KORLE-BU WHOLESALE
FREDANA CHEMICALS,3780.87,MALLAM WHOLESALE
KAHF PHARMACY,3780.00,MALLAM WHOLESALE
BEATRICE ANLIMAH CHEMICAL,3779.89,KASOA WHOLESALE
MADAM CATHERINE CLINIC,3770.09,KORLE-BU WHOLESALE
ERIC O BONNEY CHEMICALS,3768.10,ABEKA WHOLESALE
RESQ WORLD,3761.10,OFANKOR WHOLESALE
PARAPHARMA CO. LTD,3759.97,MALLAM WHOLESALE
PRIMA PHARMACY,3756.33,OKAISHIE WHOLESALE
AGYEI SIKA CHEMICAL,3754.91,MALLAM WHOLESALE
WELLMARK SPECIALIST HOSPITAL,3754.00,KORLE-BU WHOLESALE
EL-YAAQ CHEMICAL SHOP,3750.84,MALLAM WHOLESALE
CURE AID CHEMIST LIMITED,3749.50,NANAKROM WHOLESALE
LIKEM PHARMACY,3749.24,ASHAIMAN WHOLESALE
GLORIOUS MATERNITY HOME AND CLINIC,3749.08,KASOA WHOLESALE
ARISTOMED PHARMACY LTD,3748.62,DANSOMAN MARKET WHOLESALE
IB ARTHUR SCHOOL,3745.72,KORLE-BU WHOLESALE
PNT PHARMACY,3742.45,MALLAM WHOLESALE
DISCOVERY HOSPITAL,3739.20,MALLAM WHOLESALE
ROYAL MEDICAL AGENCY CLINIC,3737.01,MALLAM WHOLESALE
MARANATHA MATERNITY AND CLINIC,3732.64,KORLE-BU WHOLESALE
ST THOMAS HOSPITAL,3731.70,KORLE-BU WHOLESALE
NEDA CHEMIST,3712.42,OSU WHOLESALE
HABAKS PHARMACY,3710.19,TANTRA HILL WHOLESALE
GRACE CHEMICAL,3703.11,MALLAM WHOLESALE
ENOB CHEMICALS,3689.42,DOME WHOLESALE
HEBREWS PHARMACY,3688.62,OFANKOR WHOLESALE
LIGMAG HERBAL,3684.94,KORLE-BU WHOLESALE
PHARMAGEOGE CHEMIST-WHOLESALE,3680.00,KORLE-BU WHOLESALE
BLISS PHARMACY,3673.83,OFANKOR WHOLESALE
JIDAH PHARMACY LTD,3658.19,OFANKOR WHOLESALE
CHABEL  CHEMICAL SHOP,3654.82,KASOA WHOLESALE
ASAMFAM PHARMACEUTICAL,3650.00,KASOA WHOLESALE
MEDS N MORE PHARMACY - TEMA COMM. 9,3640.00,MALLAM WHOLESALE
MINIMAX PHARMACY LABONE,3639.63,DOME WHOLESALE
AB CHEMICALS,3638.08,KASOA WHOLESALE
GILBERT CHEMICALS,3630.70,MALLAM WHOLESALE
HEALTHY VITAL PHARMACY NANAKROM,3630.44,NANAKROM WHOLESALE
NII MAG PHARMACY,3630.34,OFANKOR WHOLESALE
ENOCH CHEMICALS,3629.30,ABEKA WHOLESALE
BORN GREAT CHEMICAL,3627.86,ABEKA WHOLESALE
ABDUL RAHIM SALISU ANGO OTC,3612.56,KORLE-BU WHOLESALE
JOAN CHEMICAL,3610.78,KORLE-BU WHOLESALE
NABS  PHARMACY LTD,3607.04,KUMASI WHOLESALE
ADU PEPRAH CHEMICAL SHOP,3603.50,TANTRA HILL WHOLESALE
KOJOKROM HEALTH CENTRE,3595.84,KUMASI WHOLESALE
A & E PHARMACY LTD - MANKESSIM,3580.21,NANAKROM WHOLESALE
DESERET HOSPITAL,3569.70,OSU WHOLESALE
ABIGAIL ANINAGYEI  CHEMICAL,3568.89,OFANKOR WHOLESALE
KOSAK PHARMACY LTD.,3550.00,NANAKROM WHOLESALE
GYE NYAME CHEMICALS SHOP,3548.76,DANSOMAN MARKET WHOLESALE
ADDOBEA SUNCITY COMMUNITY CLINIC,3547.86,KASOA WHOLESALE
ALIAMUM PHARMACY,3545.90,NANAKROM WHOLESALE
JULIAN CHEMIST,3544.45,ASHAIMAN WHOLESALE
CITABOAM PHARM,3534.38,DOME WHOLESALE
J Y BOTEY CHEMICAL SHOP,3528.38,MALLAM WHOLESALE
MEDPHARMA LTD,3527.22,OSU WHOLESALE
ALMA CHEMIST,3522.75,TANTRA HILL WHOLESALE
PARACELSUS PHARMACY,3520.06,OSU WHOLESALE
GAYCOSTMIC CHEMIST,3520.00,KORLE-BU WHOLESALE
LIFE TIME CHEMICALS,3519.52,DOME WHOLESALE
SENAM PHARMACEUTICALS,3514.57,OSU WHOLESALE
LYN - NACH MEDICAL CENTRE,3511.50,TANTRA HILL WHOLESALE
SDA HOSPITAL KOFIKROM,3510.00,OSU WHOLESALE
O J CHEMICALS,3507.12,OKAISHIE WHOLESALE
MEDWAY PHARMACY,3503.35,DOME WHOLESALE
LILY PHARMACY,3491.68,DANSOMAN MARKET WHOLESALE
EDEN ROYAL PHARMACY,3487.39,REPUBLIC WHOLESALE
KAREN DENTAL CLINIC,3481.35,KASOA WHOLESALE
RITA APPIAH MEDS,3476.00,TANTRA HILL WHOLESALE
PRIME MEDI- TRUST PHARMACY,3475.90,OKAISHIE WHOLESALE
ONUMAA CHEMICAL SHOP,3474.42,DANSOMAN MARKET WHOLESALE
THULA NUNOO CHEMICAL,3472.41,OFANKOR WHOLESALE
SILVARA PHARMACY,3447.95,DOME WHOLESALE
GIFTY CHEMICAL SHOP,3439.07,ABEKA WHOLESALE
BOSTON PHARMACY,3429.99,MALLAM WHOLESALE
M & D CHEMICAL SHOP,3423.31,OKAISHIE WHOLESALE
SKS PHARMACY,3422.04,ABEKA WHOLESALE
JAMES ATTU CHEMICAL SHOP 2,3417.80,ABEKA WHOLESALE
SENAB PHARMACY,3414.38,MALLAM WHOLESALE
PIDA CHEMIST LTD,3396.90,DANSOMAN MARKET WHOLESALE
25 COMMUNITY MEDICAL CENTRE & OH CONSULT,3395.92,KORLE-BU WHOLESALE
G D OTC,3377.63,TANTRA HILL WHOLESALE
HOUR OF GRACE CHEMICAL SHOP,3366.45,ASHAIMAN WHOLESALE
OBREMPONG PHARMACY,3364.24,OKAISHIE WHOLESALE
EDEN FAMILY HOSPITAL,3364.00,OKAISHIE WHOLESALE
DATE SUPPLEMENT,3360.13,REPUBLIC WHOLESALE
TOP UP PHARMACY OSU,3353.99,OKAISHIE WHOLESALE
EPSILON PHARMACY,3349.02,PATASE WHOLESALE
BACKNAY PHARMACY,3344.06,TANTRA HILL WHOLESALE
BOS CHEMIST LTD,3341.53,OKAISHIE WHOLESALE
HEALTHY U MEDICAL CENTRE,3339.22,TANTRA HILL WHOLESALE
C - CHEMICALS,3336.87,DANSOMAN MARKET WHOLESALE
WILLISCO CHEMICAL,3329.60,MALLAM WHOLESALE
SAMTEDORT PHARMACY,3323.93,KORLE-BU WHOLESALE
ABUNDANT GRACE CHEMICALS,3315.76,OFANKOR WHOLESALE
CHINESE FRIENDSHIP CLINIC,3312.80,KUMASI WHOLESALE
I-A BAYAN CHEMICAL,3312.42,ABEKA WHOLESALE
CEL CHEMIST LTD,3311.40,OKAISHIE WHOLESALE
JONNY BOW PHARMACY,3301.68,KASOA WHOLESALE
STEP TO CHRIST HOSPITAL,3296.22,OKAISHIE WHOLESALE
GIFTYK CHEMICAL,3285.46,OFANKOR WHOLESALE
W K ANSAH CHEMICAL SHOP,3276.49,ABEKA WHOLESALE
KORLE BU EYE CENTER,3271.75,KORLE-BU WHOLESALE
LIFEPOINT PHARMACY,3259.34,DOME WHOLESALE
DELDEM PHARMA LTD,3257.20,KORLE-BU WHOLESALE
JESUS FOREVER FELLOWSHIP,3255.51,NANAKROM WHOLESALE
OBREMPONG PHARMACY,3254.78,MALLAM WHOLESALE
BEATRICE WIREDU CHEMICAL,3250.93,MALLAM WHOLESALE
GRACE ARTHUR CHEMICALS,3249.14,TANTRA HILL WHOLESALE
KOFCITY PHARMACY LTD,3243.80,OKAISHIE WHOLESALE
GREENHEAL PHARMACY,3233.61,OKAISHIE WHOLESALE
JASCOS PHARMACY WHOLESALE,3229.48,DOME WHOLESALE
RITA CHEMICAL,3219.86,OKAISHIE WHOLESALE
GRACE ANKOMAH CHEMICAL SHOP,3215.54,OFANKOR WHOLESALE
HELIJONS PHARMACY,3202.49,ASHAIMAN WHOLESALE
KEBKINGS PHARMACY,3202.16,KORLE-BU WHOLESALE
JOYNOC PHARMACEUTICAL LTD,3192.07,MALLAM WHOLESALE
EXCEL CHEMICAL SHOP,3179.80,DANSOMAN MARKET WHOLESALE
ELSAH AID PHARMACY LTD,3175.44,MALLAM WHOLESALE
CRYSTAL MANAZIE VENTURES,3166.94,DANSOMAN MARKET WHOLESALE
KAM-AID PHARMACY,3165.96,NANAKROM WHOLESALE
EDIESTAL PHARMACY LTD,3160.75,KORLE-BU WHOLESALE
VIOLET'S MEDICAL CENTRE,3157.39,DANSOMAN MARKET WHOLESALE
LA VELCHI PHARMACY,3153.74,OFANKOR WHOLESALE
N & M LISCENSED CHEMICAL,3150.00,TANTRA HILL WHOLESALE
VALLEY VIEW CLINIC,3146.60,MALLAM WHOLESALE
MEDIFEM HOSPITAL,3144.00,DOME WHOLESALE
EGON GERMAN CLINIC,3134.40,ABEKA WHOLESALE
MARY'S CHEMICALS,3126.59,OFANKOR WHOLESALE
ALPHA CARE PHARMACY,3115.70,TANTRA HILL WHOLESALE
MEDFARM PHARMACY LTD - KOFORIDUA,3110.00,MALLAM WHOLESALE
HEALTHVIEW PHARMACY LTD,3104.11,TANTRA HILL WHOLESALE
C. K. RELOG PHARMACY,3102.70,OSU WHOLESALE
MALIA MOTHERCARE,3097.26,KUMASI WHOLESALE
SEE CLEAR CLINIC,3095.50,OKAISHIE WHOLESALE
JEMIKAY CHEMICAL,3093.05,ABEKA WHOLESALE
P2 PHARMACY,3089.48,DOME WHOLESALE
PRO HEALTH PHARMACY,3084.00,OKAISHIE WHOLESALE
HEALTH EIGHT PLUS SERVICES,3083.45,ABEKA WHOLESALE
DAN NTI KWARTENG CHEMICAL SHOP,3083.34,TANTRA HILL WHOLESALE
BAKAY PHARMACEUTICALS LTD WHOLESALE,3080.00,PATASE WHOLESALE
LYNSAM CHEMIST,3080.00,DOME WHOLESALE
MEDISHOP PHARMACY,3065.22,OSU WHOLESALE
DIS-CHEM PHARMACY LTD,3063.12,TANTRA HILL WHOLESALE
SAFELINE PHARMACY,3054.80,ABEKA WHOLESALE
VAFY PHARMACY LTD,3050.53,MALLAM WHOLESALE
KARLYLE PHARMACY LTD.,3045.00,KORLE-BU WHOLESALE
EVAKAB HOSPITAL,3039.84,KORLE-BU WHOLESALE
ACCRA SPECIALIST EYE HOSPITAL,3032.67,TANTRA HILL WHOLESALE
REPUBLIC PHARMACY,3030.96,OKAISHIE WHOLESALE
LOD HEALTH LOUNGE,3030.10,KORLE-BU WHOLESALE
FELICIA OVER THE COUNTER MEDICINE,3026.28,KUMASI WHOLESALE
ROYAL SAP PHARMACY,3024.68,KASOA WHOLESALE
GETWELL PHARMACY,3021.86,OKAISHIE WHOLESALE
DANNY CHEMICAL,3021.08,AKUKOR FOTO WHOLESALE
CARE PLUS PHARMACY LTD-WHOLSALE,3020.00,PATASE WHOLESALE
ALTIMATE KRISTAL VISION LTD,3015.75,KORLE-BU WHOLESALE
GREATER LOVE CHEMICALS,3009.01,KORLE-BU WHOLESALE
NAA DZAMAA CHEMICAL SHOP,3002.72,KORLE-BU WHOLESALE
BEST AID CHEMIST -WHOLESALE,3000.00,KUMASI WHOLESALE
MOSSAY PHARMACY-WHOLESALE,3000.00,KUMASI WHOLESALE
EUNICE DZASA CHEMICAL,2997.20,KASOA WHOLESALE
INFINITY CHEMICALS,2995.92,KASOA WHOLESALE
SAHARASIDE CHEMICAL SHOP,2987.06,MALLAM WHOLESALE
GLORY CHEMICAL SHOP,2973.14,DANSOMAN MARKET WHOLESALE
PERFECT WELLNESS PHARMACY,2972.96,DANSOMAN MARKET WHOLESALE
CHELLGLEN PHARMACY,2968.72,ABEKA WHOLESALE
MAGP PHARMACY,2968.36,KASOA WHOLESALE
CENTER FOR RURAL DEVELOPMENT,2967.00,MALLAM WHOLESALE
HOLISTIC HEALTH HAVEN,2963.26,MALLAM WHOLESALE
ALPHA BETA EDUCATION CENTRES LTD,2960.41,DANSOMAN MARKET WHOLESALE
JANESIS IMMENSE PHARMACY,2959.49,OKAISHIE WHOLESALE
BRITTS PHARMA LTD,2957.86,KORLE-BU WHOLESALE
NOBEL CHEMIST,2956.49,REPUBLIC WHOLESALE
DABYS PHARMACY,2954.59,KORLE-BU WHOLESALE
NEW CROSS MEDICAL CENTRE,2948.00,DANSOMAN MARKET WHOLESALE
DAN BORSOR,2944.90,DANSOMAN MARKET WHOLESALE
NASDAL PHARMACY,2930.56,DANSOMAN MARKET WHOLESALE
CROWN PHARMACY,2929.01,KORLE-BU WHOLESALE
XCEL MEDICAL CENTRE,2922.10,DANSOMAN MARKET WHOLESALE
ASH VILLAGE PHARMACY,2920.00,MALLAM WHOLESALE
PETRUS HILL PHARMACY,2919.38,KASOA WHOLESALE
THY GRACE CHEMICAL,2917.04,ABEKA WHOLESALE
FREEDOM PHARMACY,2916.16,REPUBLIC WHOLESALE
BRIDGE STONE PHARMACY,2915.94,TANTRA HILL WHOLESALE
OA PHARMACY - ABLEKUMA,2914.90,MALLAM WHOLESALE
VASERNE CHEMIST,2914.62,OSU WHOLESALE
PARAPHARMA CO. LTD,2910.38,KASOA WHOLESALE
PHILIPS CHEMICAL SHOP,2910.20,KORLE-BU WHOLESALE
OLIVE HEALTH PHARMACY,2909.96,ABEKA WHOLESALE
KWAME NYAMADOR CHEMICAL SHOP,2905.19,KASOA WHOLESALE
DVS CLINIC,2896.16,OFANKOR WHOLESALE
TVS PHARMACY LTD,2892.23,KUMASI WHOLESALE
SAMMID PHARMACY,2889.23,REPUBLIC WHOLESALE
DORON MEDICAL CENTER,2866.36,ASHAIMAN WHOLESALE
BENJAMIN ANNAN CHEMICAL SHOP,2862.54,KORLE-BU WHOLESALE
ACHESTA PHARMACEUTICALS,2860.00,KORLE-BU WHOLESALE
ROBERT MENSAH CHEMICAL SHOP,2849.16,MALLAM WHOLESALE
STEVEMENS PHARMACY,2849.13,TANTRA HILL WHOLESALE
STAR LIFE ASSURANCE,2844.55,MALLAM WHOLESALE
DONTWE CHEMIST LTD.,2839.63,MALLAM WHOLESALE
AMANFRO PHARMACY,2836.98,OKAISHIE WHOLESALE
ELEANOR ASARE ENT,2832.13,MALLAM WHOLESALE
EUNICE OSEI CHEMICAL SHOP,2831.82,ABEKA WHOLESALE
ORBIT PHARMACY,2829.87,OFANKOR WHOLESALE
FLASH PHARMACY,2820.94,MALLAM WHOLESALE
ROSE CHEMICAL SHOP,2816.15,MALLAM WHOLESALE
WEST LIFE PHARMACY,2815.12,AKUKOR FOTO WHOLESALE
ERIC SAM LICENSED CHEMICAL SHOP,2811.85,MALLAM WHOLESALE
DRUG BANK PHARMACY,2810.03,OKAISHIE WHOLESALE
BENCARE CHEMICAL,2804.84,KASOA WHOLESALE
POLICE HOSPITAL CHEMIST,2800.00,OSU WHOLESALE
LOD HEALTH LOUNGE,2797.06,NANAKROM WHOLESALE
PENRI PHARMACY LTD,2795.38,KUMASI WHOLESALE
A&P PHARMACY,2791.35,KORLE-BU WHOLESALE
RAKMOR PHARMACY,2791.00,MALLAM WHOLESALE
GMAD,2788.20,NANAKROM WHOLESALE
RICHJOES PHARMACY KANESHIE-WHOLESALE,2782.00,OKAISHIE WHOLESALE
J M ADDO & SONS PHARMACY,2763.95,REPUBLIC WHOLESALE
VALUE YOUR HEALTH,2760.90,KORLE-BU WHOLESALE
PARTNERS PLUS LTD,2760.04,MALLAM WHOLESALE
OPHELIA CHEMIST LTD,2758.21,DANSOMAN MARKET WHOLESALE
PHARMPLUS PHARMACY,2746.60,OKAISHIE WHOLESALE
SAMUEL AKUFFO ARTHUR LICENCE CHEMICAL,2733.50,TANTRA HILL WHOLESALE
CHURCH ROAD CHEMIST,2733.05,TANTRA HILL WHOLESALE
DANSOMAN POLYCLINIC,2732.12,AKUKOR FOTO WHOLESALE
SAMUEL AKUFFO ARTHUR LICENCE CHEMICAL,2699.86,MALLAM WHOLESALE
IMMACULATE CHEMICAL SHOP,2699.42,DANSOMAN MARKET WHOLESALE
PRIMADONA SUPERMARKET,2694.89,ABEKA WHOLESALE
STEPHEN IDAN CHEMICAL SHOP,2694.46,MALLAM WHOLESALE
KUDZO ATTAH CHEMICAL,2694.18,NANAKROM WHOLESALE
KAIZEN PHARMACY,2689.57,KORLE-BU WHOLESALE
CARE CHANNEL PHARMACY,2681.00,OKAISHIE WHOLESALE
GREENWOOD CHEMIST,2678.19,OKAISHIE WHOLESALE
SOLOEMEST CHEMICAL,2673.41,REPUBLIC WHOLESALE
ATOMIC ROAD PHARMACY,2667.75,OKAISHIE WHOLESALE
RAMZIE MEDICAL CENTRE,2660.72,KORLE-BU WHOLESALE
RITA SERWAA CHEMICAL,2659.36,TANTRA HILL WHOLESALE
TRINITY CLINIC,2640.00,ASHAIMAN WHOLESALE
SDA HOSPITAL - WIAMOASE,2639.70,KUMASI WHOLESALE
HERALD PHARMACY LTD,2637.61,KUMASI WHOLESALE
BERNICE LCS,2635.05,OFANKOR WHOLESALE
KYANDOH PHARMACY,2631.18,TANTRA HILL WHOLESALE
LOVE HILL MEDICAL CENTER,2629.30,KORLE-BU WHOLESALE
GRACE ARTHUR CHEMICALS,2618.82,DOME WHOLESALE
A.J PHARMACY,2617.00,OKAISHIE WHOLESALE
EM - ESS PHARMACY,2614.26,DOME WHOLESALE
SHARP CHEMICAL,2609.53,OKAISHIE WHOLESALE
NASHA MATERNITY,2608.11,KORLE-BU WHOLESALE
TRITONE PHARMACY,2601.87,OSU WHOLESALE
KORLE BU 24 HOUR PHARMACY,2596.00,KORLE-BU WHOLESALE
KWADWO FRIMPONG CHEMICAL,2595.91,NANAKROM WHOLESALE
CONSOLATA VETERINARY CENTRE,2591.40,KORLE-BU WHOLESALE
OHEMAA CHEMICAL SHOP,2584.17,TANTRA HILL WHOLESALE
C N A MARKETING,2578.55,ABEKA WHOLESALE
DINASHI CHEMICAL,2575.69,OKAISHIE WHOLESALE
ASARE CHEMICAL,2573.79,ABEKA WHOLESALE
DROMI CHEMICALS,2573.19,KASOA WHOLESALE
DEVIN PHARMACY,2571.34,OKAISHIE WHOLESALE
GILEAD PHARMACY,2567.66,MALLAM WHOLESALE
ALTCHOICE PHARMACY,2566.85,DOME WHOLESALE
RACHEAL CHEMICAL,2566.24,OKAISHIE WHOLESALE
GLENOF MATERNITY AND FAMILY HOSPITAL,2563.87,TANTRA HILL WHOLESALE
ABIGAIL ANINAGYEI  CHEMICAL,2562.38,TANTRA HILL WHOLESALE
NKUNIM PHARMACY,2561.69,OFANKOR WHOLESALE
FOCUS PHARMACY LTD,2557.50,MALLAM WHOLESALE
